,Longitude,Latitude,Depth
104,-59.62938137,70.66013591,-581.6847747420708
105,-59.02418008,71.45620838,-526.5859577205139
108,-57.75033813,70.98257766,-450.932118552484
110,-57.18729503,46.41845776,-221.278576285506
111,-56.96253813,70.39857183,-290.29298378366997
112,-56.79517056,66.99690039,-447.42443047711447
113,-56.78937855,45.50406775,-289.15492932549074
114,-56.32537155,44.61823621,-1379.4767510894008
115,-56.120581,70.6914604,-198.51767172433028
116,-55.98242401,67.57902139,-146.81951780185557
117,-55.72826494,43.87852488,-2939.7286488138006
118,-55.26889538,71.0392033,-115.24380427878562
119,-55.1989404,68.20043237,-250.527827916846
120,-54.80309632,43.49896853,-3697.401290683527
121,-54.29395343,68.62369669,-264.3011694273811
122,-54.2708261,71.09469174,-39.57414417885334
123,-53.85523884,43.22246843,-3637.8114650236466
124,-53.43977624,68.98078365,-85.54717444947556
125,-53.29549307,68.56822667,-114.29535221968152
126,-52.85621061,43.17839365,-3040.8575457973893
127,-52.44768316,69.07706199,-17.482066655070454
128,-51.85718237,43.13431888,-1814.9438692143628
129,-51.54533927,60.41369139,-3134.353420644857
130,-51.45058602,69.14402568,-0.19788969719675306
131,-50.95154113,61.21830544,-2398.344078673543
132,-50.8660172,43.13567129,-965.9208594596455
133,-50.35774299,62.02291949,-759.2034429333279
134,-49.93992484,43.51296818,-555.0068773518526
135,-49.01383248,43.89026507,-1153.313204943483
136,-48.4032022,57.28980374,-3451.164373360893
137,-48.09368034,44.2813306,-2903.7442226769545
138,-47.77843012,58.07061092,-3211.597015678188
139,-47.18377268,44.69614145,-3530.92102077843
140,-47.15365804,58.85141809,-2825.3098241559983
141,-46.52888595,59.63222527,-1590.2035487430353
142,-46.27386501,45.11095229,-3535.203970829534
143,-45.90411387,60.41303244,-186.79736525269774
144,-45.36395734,45.52576314,-3481.0691720226555
145,-44.61274976,46.17536906,-2978.986952646869
146,-43.88861183,46.86502423,-2065.198884253907
147,-43.1687844,47.55899479,-2756.0057962838955
148,-42.47830866,48.28235034,-3897.408658841231
149,-41.78783291,49.00570588,-4294.910535920775
150,-41.12673223,49.75336495,-4385.131617982287
151,-40.54549404,50.56709842,-4247.08832717045
152,-39.96425584,51.38083189,-3733.748715915696
153,-39.46808086,52.24797056,-3480.91035744502
154,-38.98776623,53.12506682,-3482.305641811966
155,-38.74887631,54.07336844,-2990.4223998352472
156,-38.67634061,55.07073425,-2942.334219594499
183,-62.78028888,71.80913448,-2054.031938573592
184,-61.98028888,71.20913448,-1804.3898718733308
185,-61.20211628,70.58153359,-1219.455614473869
186,-60.41737359,69.96188016,-1054.5258988388898
187,-59.62767007,69.34839148,-1258.2957911425615
188,-58.84207899,68.73135999,-520.2339820085572
189,-58.18673805,67.98342525,-396.487455979904
190,-57.68107582,67.1207653,-688.5043816403562
191,-57.16175464,66.26618615,-556.6581207919497
192,-56.6418655,65.41195264,-649.7700449563215
193,-56.12149533,64.55801184,-819.4921755489455
194,-55.60723562,63.7003857,-1191.0693264729393
195,-55.0945091,62.84183565,-2190.4887091275114
196,-54.57133982,61.98965933,-2720.704266303213
197,-54.07116449,61.12383069,-2973.981717848199
198,-53.49703308,60.30996911,-3224.9303398509514
199,-52.75830077,59.64482786,-3342.595956249114
200,-51.95298406,59.05232488,-3403.6505122004783
201,-51.15882228,58.44461848,-3487.996918919729
202,-50.342655,57.86704787,-3518.537783897811
203,-49.52201261,57.29560579,-3534.3187482288185
204,-48.69328731,56.73814905,-3569.4227794925073
205,-47.78982586,56.30952218,-3544.4613590092004
206,-46.89138227,55.87043321,-3363.221684914607
207,-45.99005972,55.43734151,-3282.957387940968
208,-45.0621747,55.06849969,-3349.4250497971625
209,-44.09336558,55.11136635,-3344.6637280975674
210,-43.11449388,55.31584177,-3337.228748668571
211,-42.13562218,55.52031719,-3324.5845535978224
212,-41.14857152,55.68068399,-3234.1480071321557
213,-40.16252681,55.84678992,-3159.885815803234
214,-39.18000396,56.03293194,-3082.727608632191
215,-38.19748112,56.21907397,-2860.592776893519
216,-37.21495827,56.40521599,-2576.7154170831664
217,-36.23243542,56.59135801,-2354.9723119040855
218,-35.24991257,56.77750004,-2115.912328189238
219,-34.2666408,56.95917945,-1914.478320938001
220,-33.27773665,57.10746346,-1834.3631093350637
221,-32.29242863,57.27825019,-1995.2031602412403
222,-31.30875231,57.45777969,-2181.1564115267506
223,-30.32012013,57.58981406,-2295.960397703432
224,-29.32111951,57.63384386,-2430.2822221426704
225,-28.32180831,57.67095356,-2424.671290204377
